filename,iati-activity/iati-identifier[1],iati-activity/budget,iati-activity/budget@status,iati-activity/budget@type,iati-activity/budget/period-start[1],iati-activity/budget/period-start[1]@iso-date,iati-activity/budget/period-end[1],iati-activity/budget/period-end[1]@iso-date,iati-activity/budget/value[1],iati-activity/budget/value[1]@currency,iati-activity/budget/value[1]@value-date
drc-activities,DK-CVR-20699310-DF20381,"
      ",1,1,,2018-04-01,,2019-03-31,7895199,GBP,2018-05-30
drc-activities,DK-CVR-20699310-DF20381,"
      ",1,1,,2019-04-01,,2020-03-31,7376076,GBP,2018-05-30
drc-activities,DK-CVR-20699310-DF20381,"
      ",2,2,,2020-04-01,,2020-12-31,1500245.94,GBP,2020-04-01
drc-activities,DK-CVR-20699310-DF18695,"
      ",2,2,,2017-07-01,,2018-05-31,4039868,GBP,2017-07-01
drc-activities,DK-CVR-20699310-DF19726,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2019-01-01,,2019-03-01,80000000,,2019-01-01
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2019-07-01,,2019-09-30,80000000,,2019-09-03
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2020-01-01,,2020-03-31,80000000,,2020-01-01
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2020-04-01,,2020-09-30,80000000,,2020-01-01
drc-activities,DK-CVR-20699310-DK2112467,"
      ",2,1,,2019-01-01,,2019-03-31,7500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK2112467,"
      ",2,1,,2019-07-05,,2019-09-30,7500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DF2055,"
      ",1,1,,2017-08-01,,2018-03-31,552000,GBP,2017-08-01
drc-activities,DK-CVR-20699310-DF2055,"
      ",1,1,,2018-04-01,,2019-03-31,770136,GBP,2018-04-01
drc-activities,DK-CVR-20699310-DF21849,,,,,,,,,,
drc-activities,DK-CVR-20699310-DU19527,"
      ",2,1,,2017-12-01,,2017-12-31,1280000,EUR,2017-12-01
drc-activities,DK-CVR-20699310-DU19527,"
      ",1,2,,2019-08-01,,2019-12-30,240000,EUR,2017-12-01
drc-activities,DK-CVR-20699310-DU19527,"
      ",1,1,,2020-01-01,,2020-12-31,80000,EUR,2017-12-01
drc-activities,DK-CVR-20699310-DU20658,"
      ",1,1,,2018-10-01,,2018-12-31,400000,EUR,2018-11-01
drc-activities,DK-CVR-20699310-DU20658,"
      ",1,1,,2019-10-01,,2019-12-31,502500,EUR,2018-11-01
drc-activities,DK-CVR-20699310-DU20658,"
      ",1,1,,2019-11-30,,2020-11-29,47500,EUR,2018-11-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",2,1,,2019-06-01,,2020-05-31,644104.75,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",1,1,,2020-06-01,,2021-05-30,537618.51,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",1,1,,2021-06-01,,2022-05-30,604452.52,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",1,1,,2022-09-01,,2022-12-01,94103.99,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DF20376,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19947,"
      ",1,1,,2019-01-01,,2019-12-31,20500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2019-04-28,,2020-04-27,3324321.24,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2020-04-28,,2021-04-27,6745483.69,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2021-04-28,,2022-04-27,5584884.73,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2022-04-28,,2023-04-27,5049684.02,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF211215,"
      ",1,1,,2020-01-01,,2020-03-31,552030,GBP,2019-01-01
